,맥주,년,평점
332,Erdinger Weissbier Dunkel, 2009,3.190677966101695
333,Erdinger Weissbier Dunkel, 2010,3.209322033898305
334,Erdinger Weissbier Dunkel, 2011,3.340909090909091
335,Erdinger Weissbier Dunkel, 2012,3.3181208053691273
336,Erdinger Weissbier Dunkel, 2013,3.2314102564102565
337,Erdinger Weissbier Dunkel, 2014,3.135672514619883
338,Erdinger Weissbier Dunkel, 2015,3.2053846153846153
339,Erdinger Weissbier Dunkel, 2016,3.170833333333333
340,Erdinger Weissbier Dunkel, 2017,3.184444444444445
341,Erdinger Weissbier Dunkel, 2018,3.1378787878787877
342,Erdinger Weissbier Dunkel, 2019,3.232142857142857
343,Erdinger Weissbier Dunkel, 2020,3.14375
344,Erdinger Weissbier Dunkel, 2021,2.1
345,FiLite, 2017,2.566666666666667
346,FiLite, 2018,2.325
347,FiLite, 2019,2.25
348,Franziskaner Hefe-Weissbier / Weissbier Naturtrub, 2000,3.96
349,Franziskaner Hefe-Weissbier / Weissbier Naturtrub, 2001,3.8642857142857143
350,Franziskaner Hefe-Weissbier / Weissbier Naturtrub, 2002,3.7088495575221243
351,Franziskaner Hefe-Weissbier / Weissbier Naturtrub, 2003,3.678985507246377
352,Franziskaner Hefe-Weissbier / Weissbier Naturtrub, 2004,3.5698630136986305
353,Franziskaner Hefe-Weissbier / Weissbier Naturtrub, 2005,3.5463687150837986
354,Franziskaner Hefe-Weissbier / Weissbier Naturtrub, 2006,3.5657142857142854
355,Franziskaner Hefe-Weissbier / Weissbier Naturtrub, 2007,3.634065934065934
356,Franziskaner Hefe-Weissbier / Weissbier Naturtrub, 2008,3.656957928802589
357,Franziskaner Hefe-Weissbier / Weissbier Naturtrub, 2009,3.5322751322751325
358,Franziskaner Hefe-Weissbier / Weissbier Naturtrub, 2010,3.6466666666666665
359,Franziskaner Hefe-Weissbier / Weissbier Naturtrub, 2011,3.576041666666667
360,Franziskaner Hefe-Weissbier / Weissbier Naturtrub, 2012,3.608064516129032
361,Franziskaner Hefe-Weissbier / Weissbier Naturtrub, 2013,3.6191304347826088
362,Franziskaner Hefe-Weissbier / Weissbier Naturtrub, 2014,3.630824372759857
363,Franziskaner Hefe-Weissbier / Weissbier Naturtrub, 2015,3.566981132075472
364,Franziskaner Hefe-Weissbier / Weissbier Naturtrub, 2016,3.6439306358381502
365,Franziskaner Hefe-Weissbier / Weissbier Naturtrub, 2017,3.633566433566434
366,Franziskaner Hefe-Weissbier / Weissbier Naturtrub, 2018,3.597560975609756
367,Franziskaner Hefe-Weissbier / Weissbier Naturtrub, 2019,3.658490566037736
368,Franziskaner Hefe-Weissbier / Weissbier Naturtrub, 2020,3.6069767441860465
369,Franziskaner Hefe-Weissbier / Weissbier Naturtrub, 2021,3.5
370,Gambrinus Originál 10° (Desítka), 2002,2.6500000000000004
371,Gambrinus Originál 10° (Desítka), 2003,2.575
372,Gambrinus Originál 10° (Desítka), 2004,2.757142857142857
373,Gambrinus Originál 10° (Desítka), 2005,2.6692307692307695
374,Gambrinus Originál 10° (Desítka), 2006,2.3916666666666666
375,Gambrinus Originál 10° (Desítka), 2007,2.4250000000000003
376,Gambrinus Originál 10° (Desítka), 2008,2.5914285714285716
377,Gambrinus Originál 10° (Desítka), 2009,2.595652173913044
378,Gambrinus Originál 10° (Desítka), 2010,2.54375
379,Gambrinus Originál 10° (Desítka), 2011,2.2766666666666664
380,Gambrinus Originál 10° (Desítka), 2012,2.4703703703703703
381,Gambrinus Originál 10° (Desítka), 2013,2.475862068965517
382,Gambrinus Originál 10° (Desítka), 2014,2.4256410256410255
383,Gambrinus Originál 10° (Desítka), 2015,2.4935483870967743
384,Gambrinus Originál 10° (Desítka), 2016,2.59
385,Gambrinus Originál 10° (Desítka), 2017,2.5391304347826087
386,Gambrinus Originál 10° (Desítka), 2018,2.512121212121212
387,Gambrinus Originál 10° (Desítka), 2019,2.638709677419355
388,Gambrinus Originál 10° (Desítka), 2020,2.96
389,Gambrinus Originál 10° (Desítka), 2021,2.7
390,Grolsch Premium Lager, 2000,2.9333333333333336
391,Grolsch Premium Lager, 2001,2.85
392,Grolsch Premium Lager, 2002,2.707558139534884
393,Grolsch Premium Lager, 2003,2.7443750000000002
394,Grolsch Premium Lager, 2004,2.585483870967742
395,Grolsch Premium Lager, 2005,2.4901515151515152
396,Grolsch Premium Lager, 2006,2.46875
397,Grolsch Premium Lager, 2007,2.402702702702703
398,Grolsch Premium Lager, 2008,2.40125
399,Grolsch Premium Lager, 2009,2.3336206896551723
400,Grolsch Premium Lager, 2010,2.476237623762376
401,Grolsch Premium Lager, 2011,2.6469135802469137
402,Grolsch Premium Lager, 2012,2.5727272727272728
403,Grolsch Premium Lager, 2013,2.4977272727272726
404,Grolsch Premium Lager, 2014,2.6294642857142856
405,Grolsch Premium Lager, 2015,2.5442477876106193
406,Grolsch Premium Lager, 2016,2.637179487179487
407,Grolsch Premium Lager, 2017,2.7292929292929293
408,Grolsch Premium Lager, 2018,2.809375
409,Grolsch Premium Lager, 2019,2.752727272727273
410,Grolsch Premium Lager, 2020,2.8
411,Grolsch Premium Lager, 2021,2.8
412,Guinness Draught, 2000,4.148
413,Guinness Draught, 2001,3.964606741573034
414,Guinness Draught, 2002,3.6795865633074936
415,Guinness Draught, 2003,3.542013888888889
416,Guinness Draught, 2004,3.543042071197411
417,Guinness Draught, 2005,3.396694214876033
418,Guinness Draught, 2006,3.532571428571429
419,Guinness Draught, 2007,3.3903640256959315
420,Guinness Draught, 2008,3.433253588516746
421,Guinness Draught, 2009,3.422327044025157
422,Guinness Draught, 2010,3.362015503875969
423,Guinness Draught, 2011,3.415352697095436
424,Guinness Draught, 2012,3.4565088757396447
425,Guinness Draught, 2013,3.3835164835164835
426,Guinness Draught, 2014,3.365109034267913
427,Guinness Draught, 2015,3.2762264150943397
428,Guinness Draught, 2016,3.3628272251308897
429,Guinness Draught, 2017,3.3219730941704033
430,Guinness Draught, 2018,3.415333333333333
431,Guinness Draught, 2019,3.5495412844036696
432,Guinness Draught, 2020,3.522033898305085
433,Guinness Draught, 2021,3.5
434,Guinness Original 4.2% (Ireland/UK), 2000,2.1
435,Guinness Original 4.2% (Ireland/UK), 2001,2.225
436,Guinness Original 4.2% (Ireland/UK), 2002,2.9000000000000004
437,Guinness Original 4.2% (Ireland/UK), 2003,3.227272727272727
438,Guinness Original 4.2% (Ireland/UK), 2004,3.419047619047619
439,Guinness Original 4.2% (Ireland/UK), 2005,3.1260869565217395
440,Guinness Original 4.2% (Ireland/UK), 2006,3.478947368421052
441,Guinness Original 4.2% (Ireland/UK), 2007,3.176
442,Guinness Original 4.2% (Ireland/UK), 2008,3.2760000000000002
